val_loss,avg_val_loss,epoch,step
0.00012778987002093345,0.00013254748773761094,0,3
0.0001189674949273467,0.00012802082346752286,1,7
0.0001108448559534736,0.00012372684432193637,2,11
0.00010338809079257771,0.00011965908925049007,3,15
9.656352631282061e-05,0.0001158098311861977,4,19
9.03229956747964e-05,0.00011216885468456894,5,23
8.451187022728845e-05,0.00010871172707993537,6,27
7.910486601758748e-05,0.00010542207746766508,7,31
7.40744435461238e-05,0.0001022873111651279,8,35
6.938774458831176e-05,9.929644147632644e-05,9,39
6.506837962660939e-05,9.644410602049902e-05,10,43
6.108129309723154e-05,9.372388740302995e-05,11,47
5.743189467466436e-05,9.113160194829106e-05,12,51
5.4116855608299375e-05,8.866395364748314e-05,13,55
5.110868005431257e-05,8.631675154902041e-05,14,59
4.840244582737796e-05,8.408649591729045e-05,15,63
4.597930092131719e-05,8.196943235816434e-05,16,67
