val_loss,avg_val_loss,epoch,step
2.4547536373138428,2.5306143760681152,0,3
2.3099608421325684,2.4570631980895996,1,7
2.1723649501800537,2.3858885765075684,2,11
2.0421597957611084,2.317142963409424,3,15
1.9194269180297852,2.250856876373291,4,19
1.8043094873428345,2.1870644092559814,5,23
1.6966551542282104,2.125763177871704,6,27
1.5961183309555054,2.0669138431549072,7,31
1.5022910833358765,2.010451555252075,8,35
1.4148765802383423,1.956308364868164,9,39
1.333278775215149,1.9043892621994019,10,43
1.2573050260543823,1.8546135425567627,11,47
1.1864914894104004,1.8068904876708984,12,51
1.1204286813735962,1.7611263990402222,13,55
1.058681845664978,1.7172236442565918,14,59
1.000689148902893,1.675074577331543,15,63
0.94666588306427,1.6346073150634766,16,67
0.8959195613861084,1.595729112625122,17,71
0.8483644127845764,1.5583608150482178,18,75
0.8037675023078918,1.5224277973175049,19,79
0.7620659470558167,1.487865924835205,20,83
0.7232325673103333,1.4546209573745728,21,87
0.687032163143158,1.422638177871704,22,91
0.6531387567520142,1.3918581008911133,23,95
0.6215869784355164,1.3622323274612427,24,99
0.5923606753349304,1.3337185382843018,25,103
0.565291166305542,1.3062747716903687,26,107
0.5402145385742188,1.2798588275909424,27,111
0.5170772671699524,1.2544327974319458,28,115
0.4956236183643341,1.2299550771713257,29,119
0.47591033577919006,1.2063912153244019,30,123
0.4578140377998352,1.1837069988250732,31,127
0.4410942792892456,1.161865472793579,32,131
0.4258149564266205,1.1408355236053467,33,135
0.4117974042892456,1.1205843687057495,34,139
0.39904001355171204,1.1010831594467163,35,143
0.3874170482158661,1.0823025703430176,36,147
0.3768230378627777,1.0642132759094238,37,151
0.3671523630619049,1.0467867851257324,38,155
0.35841992497444153,1.0299973487854004,39,159
0.3505153954029083,1.0138192176818848,40,163
0.34332990646362305,0.9982264041900635,41,167
0.3367861807346344,0.9831936955451965,42,171
0.3308863937854767,0.9686979651451111,43,175
0.32570359110832214,0.9547198414802551,44,179
0.32100582122802734,0.9412365555763245,45,183
0.3167490065097809,0.9282264113426208,46,187
0.313001424074173,0.9156708121299744,47,191
0.3096601963043213,0.9035505652427673,48,195
0.30666330456733704,0.8918468952178955,49,199
0.30401739478111267,0.880542516708374,50,203
0.30169376730918884,0.8696208000183105,51,207
0.2996189594268799,0.8590652346611023,52,211
0.2977483570575714,0.8488594889640808,53,215
0.29616233706474304,0.8389898538589478,54,219
0.2946989834308624,0.8294408917427063,55,223
0.29344260692596436,0.8201995491981506,56,227
0.2923380732536316,0.811252772808075,57,231
0.2913471460342407,0.8025876879692078,58,235
0.29048389196395874,0.7941925525665283,59,239
0.28974634408950806,0.7860562801361084,60,243
0.28910335898399353,0.7781681418418884,61,247
0.28856515884399414,0.7705181241035461,62,251
0.28809040784835815,0.7630961537361145,63,255
0.2876843810081482,0.7558929324150085,64,259
0.2873136103153229,0.7488992214202881,65,263
0.28699660301208496,0.742106556892395,66,267
0.2867112159729004,0.7355065941810608,67,271
0.2864833474159241,0.729092001914978,68,275
0.2863088548183441,0.7228555679321289,69,279
