val_loss,avg_val_loss,epoch,step
5.05663629155606e-05,5.330130079528317e-05,0,3
4.578909283736721e-05,5.079723268863745e-05,1,7
4.171079854131676e-05,4.852562415180728e-05,2,11
3.8338730519171804e-05,4.64882432424929e-05,3,15
3.562780693755485e-05,4.4678170525003225e-05,4,19
3.353743886691518e-05,4.308663847041316e-05,5,23
3.1977273465599865e-05,4.169796739006415e-05,6,27
3.0849972972646356e-05,4.049263588967733e-05,7,31
3.0062959922361188e-05,3.9449667383451015e-05,8,35
2.951779606519267e-05,3.854677197523415e-05,9,39
2.9152053684811108e-05,3.7763878935948014e-05,10,43
2.8912701964145526e-05,3.708301665028557e-05,11,47
2.8754884624504484e-05,3.648815254564397e-05,12,51
2.86586564470781e-05,3.596618626033887e-05,13,55
2.8597161872312427e-05,3.550562178133987e-05,14,59
2.8563443265738897e-05,3.5097258660243824e-05,15,63
2.854778358596377e-05,3.473339893389493e-05,16,67
2.8541926440084353e-05,3.44075306202285e-05,17,71
2.8540809580590576e-05,3.411419311305508e-05,18,75
2.8541086066979915e-05,3.3848809835035354e-05,19,79
2.8541058782138862e-05,3.3607546356506646e-05,20,83
2.8540525818243623e-05,3.338724127388559e-05,21,87
2.8540056518977508e-05,3.318527524243109e-05,22,91
2.853885234799236e-05,3.299941818113439e-05,23,95
2.8537971957121044e-05,3.282782563474029e-05,24,99
2.853711339412257e-05,3.2668907806510106e-05,25,103
2.853668775060214e-05,3.252132955822162e-05,26,107
2.8535914680105634e-05,3.238390127080493e-05,27,111
2.853562546079047e-05,3.225562613806687e-05,28,115
2.8535965611808933e-05,3.2135638321051374e-05,29,119
2.8536142053781077e-05,3.20231520163361e-05,30,123
2.8535581805044785e-05,3.1917468731990084e-05,31,127
2.85352307400899e-05,3.181799183948897e-05,32,131
2.853508158295881e-05,3.172419383190572e-05,33,135
2.8534448574646376e-05,3.1635590858059004e-05,34,139
2.8534195735119283e-05,3.1551768188364804e-05,35,143
2.8534115699585527e-05,3.14723547489848e-05,36,147
2.8533970180433244e-05,3.139701220788993e-05,37,151
2.8534184821182862e-05,3.1325442250818014e-05,38,155
2.853452679119073e-05,3.125737202935852e-05,39,159
