val_loss,avg_val_loss,epoch,step
4.2443210986675695e-05,4.468290717341006e-05,0,3
3.8655220123473555e-05,4.2673676944104955e-05,1,7
3.558235039236024e-05,4.090084621566348e-05,2,11
3.3183092455146834e-05,3.935729546356015e-05,3,15
3.141405250062235e-05,3.8033420423744246e-05,4,19
3.0197423257050104e-05,3.6913992516929284e-05,5,23
2.942574610642623e-05,3.597796239773743e-05,6,27
2.897708327509463e-05,3.520008613122627e-05,7,31
2.8750135243171826e-05,3.4555090678622946e-05,8,35
2.8654312700382434e-05,3.4018656151602045e-05,9,39
2.8615884730243124e-05,3.356842717039399e-05,10,43
2.8608730644918978e-05,3.318691233289428e-05,11,47
2.8605327315744944e-05,3.285965431132354e-05,12,51
2.859889718820341e-05,3.2575604564044625e-05,13,55
2.8587233828147873e-05,3.23263302561827e-05,14,59
2.857581785065122e-05,3.210571230738424e-05,15,63
2.85638543573441e-05,3.190894494764507e-05,16,67
2.855354978237301e-05,3.173234290443361e-05,17,71
2.8546386602101848e-05,3.157304672640748e-05,18,75
2.853987825801596e-05,3.142860805382952e-05,19,79
2.8536109311971813e-05,3.1297131499741226e-05,20,83
2.8533451768453233e-05,3.1176972697721794e-05,21,87
2.853304431482684e-05,3.106680742348544e-05,22,91
2.8532669603009708e-05,3.0965442419983447e-05,23,95
2.8532764190458693e-05,3.0871877243043855e-05,24,99
2.8534268494695425e-05,3.0785300623392686e-05,25,103
2.8534612283692695e-05,3.0704919481649995e-05,26,107
2.8535027013276704e-05,3.063009353354573e-05,27,111
2.8535154342534952e-05,3.056026253034361e-05,28,115
2.8534954253700562e-05,3.049492988793645e-05,29,119
2.8534908778965473e-05,3.043367905775085e-05,30,123
2.853496880561579e-05,3.0376142603927292e-05,31,127
2.853477417374961e-05,3.032198583241552e-05,32,131
2.853453224815894e-05,3.0270915885921568e-05,33,135
2.853469595720526e-05,3.0222687200875953e-05,34,139
2.8534290322568268e-05,3.0177054213709198e-05,35,143
2.853471232810989e-05,3.013383502548095e-05,36,147
2.8534879675135016e-05,3.009283682331443e-05,37,151
2.853552723536268e-05,3.0053903174120933e-05,38,155
2.8536047466332093e-05,3.0016883101779968e-05,39,159
